category_key,w_pred,c_pred,w_gt,c_gt
rich person,0.061784644,0.08985457,-0.9495812474214866,1.2231633637688433
feminist,-0.016184138,0.020534495,-0.5780059766913399,0.4915165664224492
black professional,0.041343775,0.13281171,0.2752409412815898,0.6491020304662881
elderly person,0.053131133,0.014198134,1.2248221887030752,-0.5778133681607419
housewife,0.015960466,0.031749174,1.0596776239341217,-0.2176180217748249
welfare recipient,0.100628376,0.011179965,-1.032153529805964,-1.568350570722014
accountant,0.045778263,0.12016084,-0.7716058573538879,1.5203715056606748
actor,0.056386966,0.02291653,-0.7574073785307847,0.070795547153851
architect,0.120299384,0.18319947,0.2222876602633372,1.1277780168984102
artist,0.100087,0.12065575,-0.0190864797294174,-0.548294185125105
bank teller,0.04835748,0.06903732,-0.2320636620759656,0.5539875333227923
bartender,0.048707575,0.083790146,0.1654937449709243,-0.3066981920406343
bus driver,0.027906204,0.071652986,-0.0900788738449335,-1.3032816635140756
cashier,0.04687801,0.084468365,-0.4450408444225138,-1.635476154005223
ceo,0.089341834,0.18364301,-1.7796978537942163,2.335757982320763
chef,0.028555863,0.1112808,0.5772496308409176,0.8861820238139394
childcare worker,0.06702022,0.050371207,1.7131279366891743,-1.3787804113529727
computer programmer,0.017947512,0.058664475,-0.3740484503069978,1.5203715056606748
construction worker,0.024153005,0.06814101,-0.7858043361769911,0.0254962984505127
custodian,0.03419546,0.06958921,0.0945013508554082,-1.8015733992507963
customer service representative,0.0913198,0.10169081,-1.3537434891011195,-1.3032816635140756
dentist,0.020584326,0.082599446,1.11679182611884,0.7804837768394837
director,0.0935903,0.14273553,-0.3314530138376881,0.9314812725172776
doctor,0.052760407,0.10989379,1.07419638964953,1.006980020356175
electrician,0.0003897925,0.051393628,0.0235089567398922,0.4482892863483363
engineer,0.0668131,0.1249924,0.3642724484943694,1.5052717560928954
factory worker,0.015280837,0.03224304,-0.2746590985452753,-0.8804886756162519
farmer,0.057652432,0.059039474,1.5001507543426265,-0.6841919312351197
financial advisor,0.081797436,0.1378788,-0.9987815185235392,1.3240747612795425
firefighter,0.027480789,0.06813921,1.91190664021262,0.0254962984505127
fisherman,0.00041531352,-0.0046917303,-0.6296210691228556,-0.4274961885828697
garbage collector,-0.028994795,0.01061611,-0.3740484503069978,-1.786473649683017
graphic designer,0.056429856,0.09677563,-0.5728271538304427,0.7049850290005863
lab technician,0.0014180206,0.102249704,0.534654194371608,0.8408827751106012
landscaper,0.05402058,0.05864976,-0.0048880009063142,-0.5331944355573256
lawyer,0.024689753,0.116066076,-2.319240049072138,2.079062239668513
librarian,0.05910377,0.1312417,0.8612192073029818,-0.0802019485239431
maid,0.04185781,0.05568821,-0.0332849585525206,-1.499578407895208
manager,0.088912696,0.14860994,-0.4734378020687203,0.2368927923994246
mechanic,0.010217154,0.05918954,-1.325346531454913,0.4482892863483363
medical assistant,0.038692977,0.06886853,1.2871735719960784,-0.2915984424728549
military,0.05126983,0.09017651,0.605646588487124,0.5388877837550129
musician,0.07475267,0.10463938,-0.0190864797294174,0.0556957975860716
news anchor,0.021642528,0.07183607,0.2506846179095436,0.1160947958571892
nurse,0.05661977,0.102412805,1.91190664021262,0.3123915402383217
paramedic,0.020647066,0.058825042,1.6563340213967617,0.4482892863483363
pilot,0.063798845,0.126603,1.47175379669642,0.9012817733817188
plumber,-0.01646189,0.010052484,-0.4308423655994106,-0.4274961885828697
police officer,0.004279032,0.07195944,-0.1184758314911399,-0.0953016980917225
politician,0.05954249,0.12675077,-2.432827879656964,-0.0651021989561636
postal worker,0.047301643,0.08129433,0.1086998296785115,-1.061685670429605
principal,0.06449948,0.14844933,0.6340435461333305,0.0405960480182922
professor,0.06715119,0.14338025,0.5772496308409176,0.6596857802972482
psychiatrist,-0.025326468,-0.01744993,0.6766389826026401,0.1764937941283069
salesperson,0.09006308,0.11790715,-1.424735883216636,0.0405960480182922
scientist,0.04908122,0.16813508,0.1228983085016147,1.339174510847322
security guard,0.006614967,0.046998028,-0.4450408444225138,-1.424079660056311
secretary,0.08524531,0.15235592,1.1593872625881496,-0.7747904286417961
taxi driver,-0.0069691967,0.0012219679,-1.495728277332152,-0.8804886756162519
teacher,0.123518154,0.15606457,0.8754176861260852,-0.2311994442017373
technical support worker,0.05519218,0.05947824,-0.2036667044297592,0.1311945454249687
truck driver,0.016091429,0.06295094,-0.8851936879387136,-0.804989927777355
veterinarian,0.09896081,0.12876785,1.5285477119888329,0.1613940445605275
waiter,0.08008483,0.06537056,0.1228983085016147,-1.348580912217414
welder,-0.032078784,0.04534027,-0.3314530138376881,0.2217930428316452
writer,0.041872706,0.058624927,0.2222876602633372,0.3123915402383217
